id,Home team,Home team score, Host team,Host team score,Home team win odd,Draw odd,Host team win odd,Event result type,leaguelink,season
0xE3B71EE6F6204CFBB9B7A63904FD641200000000000000000000000000000000,Aston Villa,2,West Brom,1,2.910,3.050,2.740,0,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xE57D92C34C3944DEA0D721C6F039E38D00000000000000000000000000000000,Tottenham,1,Southampton,0,2.430,3.390,3.000,0,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xE65F075B12CB4D7D8962FE732DA4D25700000000000000000000000000000000,Newcastle,1,Liverpool,0,3.580,3.600,2.100,0,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xE84F8A5336BE4747B9B3907A8BB633FB00000000000000000000000000000000,Swansea,2,Newcastle,2,1.990,3.510,4.020,1,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xE8C7EDBB9976492B887E8402F244E2B500000000000000000000000000000000,Hull,2,Manchester City,4,6.780,4.420,1.510,2,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xE94ED3D786484328A16CFDFA8BA94AD900000000000000000000000000000000,Arsenal,4,Liverpool,1,1.850,3.690,4.480,0,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xE97EC93569FC4537A3ECF01FCB225D4C00000000000000000000000000000000,Leicester,1,Chelsea,3,5.000,3.750,1.750,2,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xEA6925D2952D469F9B98417B6E5E8DBF00000000000000000000000000000000,Swansea,1,West Ham,1,2.180,3.420,3.510,1,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xEAD7BA7FF9A24608A7AE2D5AC799786500000000000000000000000000000000,Liverpool,1,Chelsea,2,3.400,3.440,2.230,2,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xED2A225DF2E141579269A94A74F4988E00000000000000000000000000000000,Manchester Utd,3,Newcastle,1,1.360,5.190,9.280,0,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xEE421E481A0444F4B3A8F0C72CD5B9E800000000000000000000000000000000,West Brom,1,Southampton,0,3.310,3.190,2.360,0,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xEE97486950334F2C8AF902369CEC3BF800000000000000000000000000000000,Burnley,1,Aston Villa,1,2.230,3.280,3.510,1,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xF0DBBCF2868647A7A72EDDD87BE1BA5000000000000000000000000000000000,Southampton,1,Chelsea,1,4.410,3.470,1.920,1,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xF0E4FD2E9FAE40B8AC8E5AE800CB924A00000000000000000000000000000000,Sunderland,1,Crystal Palace,4,2.760,3.170,2.800,2,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xF179D3D27B6545B59E551403D6D701F400000000000000000000000000000000,Arsenal,2,Manchester City,2,2.560,3.380,2.880,1,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xF2BF514CD9D042FDA892A8E3AE5F15B300000000000000000000000000000000,Newcastle,3,Burnley,3,1.910,3.510,4.460,1,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xF30DA7F592DC4D46A8DD2F1538B01F5100000000000000000000000000000000,West Brom,2,Manchester Utd,2,4.830,3.830,1.770,1,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xF52BEA48D1DD4E029B2D06D3CFA0F55900000000000000000000000000000000,Arsenal,2,Crystal Palace,1,1.290,5.620,11.110,0,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xF56B614A92AA45BAA4462AE1B322238300000000000000000000000000000000,Hull,1,Arsenal,3,5.240,3.740,1.730,2,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xF5AD2F316DC04684B68B86EA7EAE5E2E00000000000000000000000000000000,Southampton,1,Crystal Palace,0,1.670,3.760,5.840,0,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xF5F55D12537040A8855ECC842E42D9C300000000000000000000000000000000,Manchester Utd,3,Hull,0,1.360,5.260,9.080,0,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xF6617E5DB9104F9B825EFF51608E8F1600000000000000000000000000000000,Manchester City,0,Arsenal,2,1.790,3.970,4.460,2,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xF683C7311729434FB6B41FD9E0F2E57A00000000000000000000000000000000,West Ham,0,Chelsea,1,6.060,4.140,1.590,2,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xF701A81246144279B2F223928DC82B0C00000000000000000000000000000000,Burnley,2,QPR,1,2.090,3.440,3.720,0,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xF8B7611BD3974585810AA6E427FF925800000000000000000000000000000000,Burnley,1,Hull,0,2.510,3.320,2.970,0,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xF8FB5D8E8F2C49CA90C0AEA40A94495600000000000000000000000000000000,Newcastle,1,West Brom,1,2.220,3.340,3.500,1,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xF994AF166CA345E9A7936BAA7BBBD67E00000000000000000000000000000000,West Ham,2,QPR,0,1.860,3.630,4.430,0,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
0xF99D2A82D08543E99702AC390190F57F00000000000000000000000000000000,Stoke,1,Newcastle,0,2.160,3.320,3.710,0,https://www.oddsportal.com/soccer/england/premier-league-2014-2015/results/,2014/2015
